Bvp Num, Bvp
12033, -212287, 84
12034, -211890, 84
12035, -211774, 84
12036, -211496, 84
12037, -211233, 84
12038, -210888, 84
12039, -210403, 84
12040, -210180, 84
12041, -210119, 84
12042, -209781, 84
12043, -209558, 84
12044, -209332, 84
12045, -208772, 84
12046, -208473, 84
12047, -207923, 84
12048, -207762, 84
12049, -207492, 84
12050, -207103, 100
12051, -206830, 100
12052, -206414, 100
12053, -206225, 100
12054, -205767, 100
12055, -205300, 100
12056, -204997, 100
12057, -204462, 100
12058, -204164, 100
12059, -203475, 100
12060, -203233, 100
12061, -202642, 100
12062, -202275, 100
12063, -201455, 100
12064, -201237, 100
12065, -200964, 100
12066, -200636, 100
12067, -200613, 100
12068, -200826, 100
12069, -200917, 100
12070, -201167, 100
12071, -201326, 100
12072, -201648, 100
12073, -201797, 100
12074, -201866, 100
12075, -201916, 100
12076, -201960, 100
12077, -202233, 100
12078, -202135, 100
12079, -202166, 100
12080, -202054, 100
12081, -202404, 100
12082, -202421, 100
12083, -202365, 100
12084, -202665, 100
12085, -202857, 100
12086, -203012, 100
12087, -202794, 100
12088, -202687, 100
12089, -202695, 100
12090, -202445, 100
12091, -202218, 100
12092, -202182, 100
12093, -202110, 100
12094, -202223, 100
12095, -202080, 100
12096, -201890, 100
12097, -201848, 100
12098, -201831, 100
12099, -201683, 100
12100, -201533, 100
12101, -201353, 100
12102, -201355, 100
12103, -201183, 100
12104, -201183, 100
12105, -200985, 100
12106, -200793, 100
12107, -200625, 100
12108, -200586, 100
12109, -200405, 100
12110, -200167, 100
12111, -199992, 100
12112, -199879, 100
12113, -199559, 100
12114, -199454, 100
12115, -199160, 100
12116, -199131, 100
12117, -198781, 100
12118, -198460, 100
12119, -198358, 100
12120, -198017, 100
12121, -197739, 100
12122, -197571, 100
12123, -197253, 100
12124, -196982, 100
12125, -196706, 100
12126, -196473, 100
12127, -196075, 100
12128, -195933, 100
12129, -195511, 100
12130, -195078, 100
12131, -194568, 100
12132, -194555, 100
12133, -194502, 100
12134, -194661, 100
12135, -194697, 100
12136, -194887, 100
12137, -195249, 100
12138, -195400, 100
12139, -195679, 100
12140, -196001, 100
12141, -196272, 100
12142, -196551, 100
12143, -196861, 100
12144, -196899, 100
12145, -197272, 100
12146, -197449, 100
12147, -197492, 100
12148, -197571, 100
12149, -197581, 100
12150, -197936, 100
12151, -197822, 100
12152, -197906, 100
12153, -197905, 100
12154, -197879, 100
12155, -197707, 100
