Acc Num, Acceleration1(mg), Acceleration2(mg), Acceleration3(mg), Angular Rate1(mdps), Angular Rate2(mdps), Angular Rate3(mdps)
154, 109.5560, -363.0720, 929.1520, -3045.0000, -2695.0000, 1435.0000
155, 111.1420, -367.0980, 929.0300, 3080.0000, -2380.0000, 630.0000
156, 112.3620, -370.1480, 928.5420, 245.0000, -3570.0000, 910.0000
157, 110.1660, -372.8320, 925.6140, -245.0000, -2030.0000, 1575.0000
158, 106.3840, -376.2480, 923.0520, -1225.0000, 385.0000, -1925.0000
159, 103.7000, -380.5180, 919.5140, 0.0000, 1960.0000, -6825.0000
160, 101.0160, -385.2760, 915.3660, 16765.0000, 5530.0000, -11550.0000
161, 100.6500, -388.5700, 914.6340, 22610.0000, 6405.0000, -12985.0000
162, 103.2120, -389.0580, 916.0980, 22190.0000, 4200.0000, -10430.0000
163, 106.9940, -386.2520, 917.3180, 22365.0000, 5635.0000, -6265.0000
164, 109.4340, -381.3720, 919.2700, 21630.0000, 6860.0000, -1890.0000
165, 109.5560, -375.8820, 921.3440, 9065.0000, 4235.0000, 1260.0000
166, 108.4580, -372.9540, 923.2960, -6055.0000, 2030.0000, 1190.0000
167, 106.9940, -373.5640, 925.2480, -9205.0000, 105.0000, -630.0000
168, 105.8960, -375.1500, 925.8580, -2380.0000, -1645.0000, -2450.0000
169, 105.4080, -375.0280, 925.8580, 5600.0000, -315.0000, -2135.0000
170, 105.1640, -372.8320, 926.2240, 4235.0000, -700.0000, -1155.0000
171, 104.9200, -370.7580, 926.2240, 0.0000, 350.0000, 70.0000
172, 104.5540, -369.6600, 926.7120, -2625.0000, 2345.0000, 770.0000
173, 103.4560, -368.9280, 927.8100, -2555.0000, 1330.0000, 1015.0000
174, 102.4800, -368.1960, 928.9080, -6440.0000, -980.0000, -770.0000
175, 101.5040, -367.9520, 930.2500, -8575.0000, -2590.0000, -595.0000
176, 100.1620, -367.9520, 931.7140, -11060.0000, -8470.0000, -2205.0000
177, 100.6500, -368.0740, 931.7140, -13300.0000, -10535.0000, -1820.0000
178, 102.1140, -368.9280, 931.3480, -12775.0000, -8610.0000, 875.0000
179, 103.0900, -369.4160, 930.9820, -11410.0000, -9765.0000, 2835.0000
180, 103.3340, -370.5140, 930.2500, -19390.0000, -9345.0000, 7525.0000
181, 102.9680, -375.2720, 930.1280, -24080.0000, -12250.0000, 4375.0000
182, 102.3580, -379.9080, 929.1520, -27300.0000, -15365.0000, -1120.0000
183, 102.3580, -381.6160, 928.2980, -28630.0000, -17535.0000, 1855.0000
184, 103.7000, -385.0320, 928.0540, -35280.0000, -24150.0000, 5425.0000
185, 106.2620, -391.2540, 926.1020, -39060.0000, -29715.0000, 3395.0000
186, 108.9460, -399.7940, 922.1980, -44240.0000, -32690.0000, 1330.0000
187, 111.7520, -409.6760, 917.6840, -54810.0000, -35350.0000, -5705.0000
188, 115.9000, -418.4600, 912.1940, -71365.0000, -38080.0000, -10010.0000
189, 121.8780, -427.6100, 905.8500, -103215.0000, -43085.0000, -11270.0000
190, 129.8080, -440.7860, 898.1640, -147980.0000, -57750.0000, -18375.0000
191, 139.0800, -457.7440, 884.6220, -166985.0000, -69090.0000, -34265.0000
192, 149.2060, -476.5320, 863.7600, -166880.0000, -72870.0000, -33075.0000
193, 160.9180, -496.4180, 836.3100, -169960.0000, -80045.0000, -36365.0000
194, 175.3140, -517.1580, 799.9540, -176505.0000, -85225.0000, -40740.0000
195, 190.9300, -537.1660, 755.7900, -165410.0000, -78785.0000, -39655.0000
196, 209.2300, -553.6360, 705.6480, -175490.0000, -73990.0000, -41685.0000
197, 229.2380, -570.1060, 651.6020, -164080.0000, -65415.0000, -37555.0000
198, 245.9520, -585.6000, 595.7260, -118965.0000, -54810.0000, -37275.0000
199, 260.2260, -596.4580, 535.5800, -89390.0000, -42000.0000, -31045.0000
200, 276.8180, -604.9980, 472.7500, -55825.0000, -22015.0000, -20405.0000
201, 295.7280, -612.4400, 413.0920, -13580.0000, -8225.0000, -12320.0000
202, 316.2240, -618.2960, 359.2900, 26355.0000, 1330.0000, -9135.0000
203, 335.1340, -622.9320, 310.6120, 33460.0000, 11725.0000, -1400.0000
204, 349.7740, -629.2760, 268.0340, 31430.0000, 16625.0000, 1400.0000
205, 361.6080, -637.8160, 231.3120, 47180.0000, 21665.0000, 5320.0000
206, 372.2220, -646.6000, 199.8360, 69545.0000, 23205.0000, 8435.0000
207, 384.0560, -655.5060, 173.4840, 82600.0000, 24045.0000, 10010.0000
208, 396.8660, -664.4120, 151.8900, 86905.0000, 28245.0000, 10010.0000
209, 407.8460, -673.3180, 135.2980, 88305.0000, 33320.0000, 12145.0000
210, 415.2880, -685.2740, 124.1960, 84175.0000, 35315.0000, 9905.0000
211, 418.7040, -699.3040, 116.8760, 86345.0000, 34825.0000, 1715.0000
212, 419.5580, -708.4540, 112.6060, 70595.0000, 35630.0000, -2800.0000
213, 420.2900, -715.2860, 114.0700, 50680.0000, 34440.0000, 1470.0000
214, 426.8780, -724.5580, 117.8520, 38045.0000, 25375.0000, 12110.0000
215, 438.2240, -734.4400, 120.7800, 33705.0000, 16310.0000, 27475.0000
216, 446.0320, -744.9320, 124.9280, 22295.0000, 20545.0000, 18515.0000
217, 448.4720, -756.0340, 129.3200, 29190.0000, 27265.0000, 12635.0000
218, 446.7640, -763.9640, 134.9320, 4900.0000, 13265.0000, 3990.0000
219, 446.1540, -768.3560, 141.0320, -30310.0000, 5705.0000, -7490.0000
220, 447.2520, -772.8700, 146.6440, -35875.0000, 7665.0000, -9835.0000
221, 447.8620, -776.8960, 150.5480, -26250.0000, 9625.0000, -10465.0000
222, 449.3260, -779.0920, 153.3540, -20335.0000, 17430.0000, -5775.0000
223, 451.1560, -781.6540, 157.6240, -10990.0000, 19740.0000, -3850.0000
224, 453.7180, -783.6060, 162.3820, 1680.0000, 17325.0000, -4165.0000
225, 457.5000, -784.3380, 167.8720, 6510.0000, 16940.0000, -1960.0000
226, 462.0140, -784.7040, 173.6060, 2450.0000, 8890.0000, -2835.0000
227, 466.4060, -785.1920, 178.2420, 2240.0000, 5985.0000, -2905.0000
228, 468.1140, -785.6800, 184.0980, 7735.0000, 5880.0000, -1085.0000
229, 467.9920, -786.5340, 190.9300, -5950.0000, -1225.0000, 1890.0000
230, 467.8700, -788.1200, 197.2740, -1575.0000, 420.0000, 10815.0000
231, 468.2360, -790.0720, 204.4720, 7630.0000, 2590.0000, 13685.0000
232, 468.7240, -791.7800, 212.1580, 33075.0000, 5005.0000, 20720.0000
233, 467.6260, -791.6580, 220.3320, 48860.0000, 5285.0000, 23800.0000
234, 465.5520, -791.0480, 228.2620, 37975.0000, 4130.0000, 24605.0000
235, 462.3800, -791.6580, 235.0940, 30240.0000, 6370.0000, 29820.0000
236, 457.3780, -791.5360, 243.1460, 21910.0000, 7105.0000, 37835.0000
237, 448.7160, -792.7560, 252.7840, 19635.0000, 10920.0000, 46935.0000
238, 438.7120, -798.1240, 263.0320, 24920.0000, 9765.0000, 47320.0000
239, 429.4400, -805.6880, 272.3040, 45675.0000, 9835.0000, 30975.0000
240, 421.8760, -808.7380, 282.3080, 65100.0000, 8785.0000, 23555.0000
241, 414.8000, -807.3960, 295.7280, 59920.0000, 4760.0000, 23275.0000
242, 405.7720, -807.2740, 310.9780, 50015.0000, -175.0000, 22785.0000
243, 394.1820, -807.1520, 327.6920, 54600.0000, -245.0000, 21140.0000
244, 381.4940, -805.2000, 345.2600, 46025.0000, -6895.0000, 19460.0000
245, 371.0020, -802.6380, 358.8020, 1260.0000, -14385.0000, 18480.0000
246, 361.1200, -803.7360, 368.5620, 7910.0000, -7210.0000, 21420.0000
247, 348.7980, -806.4200, 380.3960, 28840.0000, -2030.0000, 11095.0000
248, 335.3780, -807.5180, 393.0840, 47005.0000, -525.0000, 6300.0000
249, 324.2760, -805.8100, 406.6260, 24920.0000, -8295.0000, -2380.0000
250, 317.3220, -803.2480, 418.2160, -12250.0000, -12145.0000, -11270.0000
251, 313.1740, -800.0760, 427.4880, -14945.0000, -11410.0000, -12040.0000
252, 310.9780, -798.3680, 436.2720, -32130.0000, -12635.0000, -7700.0000
253, 309.1480, -800.5640, 443.8360, -34510.0000, -7385.0000, -6300.0000
254, 307.0740, -805.0780, 449.5700, -30730.0000, -3885.0000, -3745.0000
255, 304.2680, -811.4220, 453.8400, -9415.0000, -210.0000, -10815.0000
256, 302.5600, -815.5700, 457.8660, 9625.0000, 2905.0000, -4410.0000
257, 251.6860, -671.0000, 694.3020, 7385.0000, 2695.0000, -2030.0000
258, 252.4180, -667.0960, 697.7180, 5425.0000, 2135.0000, -595.0000
259, 252.5400, -663.5580, 701.5000, 3990.0000, -805.0000, -1505.0000
260, 252.0520, -660.6300, 705.5260, 1715.0000, -1155.0000, -2065.0000
261, 252.1740, -657.9460, 708.4540, 2380.0000, -1715.0000, -2590.0000
262, 251.8080, -655.5060, 711.6260, 3150.0000, -3850.0000, -3570.0000
263, 251.1980, -652.8220, 714.7980, 490.0000, -3955.0000, -3535.0000
264, 251.1980, -649.7720, 717.3600, -1890.0000, -3395.0000, -3010.0000
265, 251.8080, -647.0880, 719.3120, 630.0000, -2800.0000, -1890.0000
266, 252.5400, -644.6480, 720.8980, 700.0000, -2030.0000, -1015.0000
267, 253.2720, -642.5740, 722.8500, 1925.0000, -3535.0000, -1575.0000
268, 253.5160, -640.8660, 725.1680, 2240.0000, -4760.0000, -2485.0000
269, 254.1260, -639.0360, 727.1200, -980.0000, -5075.0000, -2730.0000
270, 255.2240, -637.0840, 728.5840, -1470.0000, -4760.0000, -2485.0000
271, 256.0780, -635.2540, 729.6820, -420.0000, -4270.0000, -1995.0000
272, 257.0540, -633.5460, 730.5360, 175.0000, -3675.0000, -665.0000
273, 258.2740, -631.8380, 731.2680, 70.0000, -3675.0000, 350.0000
274, 259.6160, -630.0080, 732.1220, -700.0000, -3325.0000, 1225.0000
275, 261.3240, -628.5440, 732.6100, -1260.0000, -1890.0000, 1330.0000
276, 263.0320, -627.6900, 732.6100, 910.0000, 490.0000, 945.0000
277, 264.2520, -627.3240, 732.1220, 3360.0000, 3920.0000, -210.0000
278, 264.9840, -627.2020, 731.2680, 7035.0000, 7385.0000, -1925.0000
279, 265.2280, -626.8360, 731.1460, 9835.0000, 8365.0000, -2065.0000
280, 265.1060, -625.9820, 732.2440, 10885.0000, 7350.0000, -2030.0000
281, 264.8620, -624.7620, 734.3180, 9730.0000, 4200.0000, -1890.0000
282, 264.3740, -622.5660, 737.4900, 4095.0000, 210.0000, -1190.0000
283, 264.0080, -619.7600, 740.9060, 665.0000, -3150.0000, -105.0000
284, 263.8860, -617.3200, 743.4680, -735.0000, -3710.0000, 560.0000
285, 263.6420, -615.4900, 745.1760, 175.0000, -4865.0000, 910.0000
286, 263.0320, -614.0260, 747.0060, -560.0000, -6580.0000, 525.0000
287, 262.7880, -612.8060, 748.4700, -1435.0000, -6090.0000, 455.0000
288, 263.1540, -611.9520, 749.0800, 245.0000, -5110.0000, -560.0000
289, 263.7640, -611.5860, 749.3240, 1540.0000, -4235.0000, -1890.0000
290, 264.4960, -611.3420, 749.4460, 4935.0000, -1225.0000, -1680.0000
291, 265.4720, -610.1220, 748.5920, 7980.0000, 2555.0000, 1085.0000
292, 266.4480, -608.1700, 748.3480, 8050.0000, 1785.0000, 3395.0000
293, 266.9360, -605.9740, 749.9340, 2415.0000, 700.0000, 4340.0000
294, 267.1800, -604.2660, 751.6420, 2380.0000, -315.0000, 3745.0000
295, 267.4240, -603.5340, 752.9840, 3325.0000, -560.0000, 875.0000
296, 267.4240, -603.6560, 753.8380, 4760.0000, 1295.0000, -2310.0000
297, 267.1800, -603.5340, 754.0820, 5915.0000, 4410.0000, -3570.0000
298, 267.1800, -602.3140, 754.2040, 8575.0000, 5040.0000, -2765.0000
299, 266.5700, -600.8500, 755.7900, 7175.0000, 3010.0000, -2345.0000
300, 265.5940, -598.5320, 758.3520, 2940.0000, 1155.0000, -1400.0000
301, 264.9840, -596.2140, 761.0360, 1330.0000, -2170.0000, -1820.0000
302, 264.3740, -594.8720, 763.4760, -560.0000, -2135.0000, -2835.0000
303, 264.0080, -593.2860, 764.4520, -280.0000, -1225.0000, -2100.0000
304, 263.8860, -591.7000, 765.3060, 1225.0000, -980.0000, -980.0000
305, 263.6420, -590.1140, 766.4040, -315.0000, -560.0000, -910.0000
306, 263.6420, -588.6500, 767.3800, -1015.0000, 1575.0000, -2135.0000
307, 263.8860, -587.9180, 767.3800, 1540.0000, 4025.0000, -2555.0000
308, 264.1300, -587.0640, 767.3800, 4095.0000, 4725.0000, -1015.0000
309, 263.6420, -585.6000, 768.4780, 2520.0000, 3255.0000, 245.0000
310, 262.9100, -583.8920, 770.4300, 1015.0000, 1120.0000, 560.0000
311, 261.8120, -582.7940, 772.2600, 1645.0000, -700.0000, 315.0000
312, 260.8360, -582.0620, 773.8460, 350.0000, -1750.0000, -595.0000
313, 260.3480, -581.3300, 775.1880, -350.0000, -1890.0000, -1505.0000
314, 259.9820, -580.5980, 775.9200, -1855.0000, -105.0000, -2835.0000
315, 259.7380, -580.2320, 776.0420, -4480.0000, 2275.0000, -5040.0000
316, 259.6160, -579.8660, 776.0420, -4830.0000, 3850.0000, -5845.0000
317, 259.3720, -579.6220, 776.2860, 2485.0000, 2205.0000, -5180.0000
318, 258.6400, -579.2560, 777.3840, 3010.0000, 910.0000, -3885.0000
319, 257.9080, -578.2800, 778.2380, 4795.0000, -105.0000, -1785.0000
320, 257.6640, -577.1820, 778.9700, 3185.0000, -420.0000, -1120.0000
321, 257.7860, -576.3280, 779.4580, 3500.0000, 805.0000, -1715.0000
322, 257.9080, -575.7180, 779.5800, 3815.0000, 2450.0000, -2625.0000
323, 257.6640, -575.3520, 779.9460, 4690.0000, 1925.0000, -2870.0000
324, 257.2980, -574.2540, 781.1660, 2275.0000, 630.0000, -2100.0000
325, 256.9320, -572.7900, 782.6300, 980.0000, -805.0000, -1680.0000
326, 256.5660, -571.5700, 783.9720, 1050.0000, -1715.0000, -1575.0000
327, 256.2000, -570.5940, 784.9480, 1470.0000, -2870.0000, -1295.0000
328, 255.8340, -569.6180, 786.2900, 175.0000, -4550.0000, -1995.0000
329, 255.4680, -568.6420, 787.3880, -2275.0000, -3325.0000, 35.3288
330, 255.7120, -567.6660, 787.2660, -2590.0000, -1470.0000, -1435.0000
331, 256.4440, -567.0560, 786.6560, -2135.0000, 1470.0000, -875.0000
332, 257.2980, -566.8120, 785.5580, -630.0000, 4795.0000, -2695.0000
333, 257.5420, -567.7880, 785.1920, 2940.0000, 5110.0000, -6965.0000
334, 256.9320, -568.6420, 785.0700, -945.0000, 8365.0000, -7000.0000
335, 257.7860, -567.7880, 783.8500, 770.0000, 7385.0000, 5460.0000
336, 261.0800, -564.7380, 783.9720, 9310.0000, 735.0000, 17850.0000
337, 263.0320, -561.4440, 785.4360, 13265.0000, 1750.0000, 20545.0000
338, 260.7140, -558.8820, 787.1440, -2450.0000, 5320.0000, 10990.0000
