Temp Num, Object(℃), Ambient(℃)
524, 36.866, 36.477
525, 36.899, 36.485
526, 36.899, 36.492
527, 36.889, 36.492
528, 36.889, 36.492
529, 36.893, 36.499
530, 36.912, 36.499
531, 36.912, 36.499
532, 36.922, 36.506
533, 36.931, 36.506
534, 36.903, 36.506
535, 36.925, 36.514
536, 36.925, 36.521
537, 36.906, 36.521
538, 36.906, 36.521
539, 36.887, 36.521
540, 36.897, 36.521
541, 36.925, 36.521
542, 36.948, 36.528
543, 36.929, 36.535
544, 36.952, 36.542
545, 36.952, 36.542
546, 36.929, 36.535
547, 36.939, 36.535
548, 36.971, 36.542
549, 36.962, 36.550
550, 36.942, 36.550
551, 36.913, 36.550
552, 36.946, 36.557
553, 36.956, 36.557
554, 36.965, 36.557
555, 36.956, 36.557
556, 36.946, 36.557
557, 36.975, 36.557
558, 36.965, 36.557
559, 36.978, 36.564
560, 36.978, 36.564
561, 36.988, 36.564
562, 36.988, 36.571
563, 36.969, 36.571
564, 36.950, 36.571
565, 36.959, 36.571
566, 36.978, 36.571
567, 37.001, 36.578
568, 36.982, 36.586
569, 36.963, 36.586
570, 36.972, 36.586
571, 36.972, 36.586
572, 36.982, 36.586
573, 36.976, 36.593
574, 36.976, 36.600
575, 36.986, 36.600
576, 36.999, 36.607
577, 36.999, 36.607
578, 36.999, 36.607
579, 36.989, 36.607
580, 36.980, 36.607
581, 36.999, 36.615
582, 36.989, 36.615
583, 36.970, 36.615
584, 36.980, 36.615
585, 37.009, 36.615
586, 37.003, 36.622
587, 36.974, 36.622
588, 36.993, 36.622
589, 37.012, 36.629
590, 37.035, 36.636
591, 37.035, 36.636
592, 37.035, 36.643
593, 37.058, 36.651
594, 37.039, 36.643
595, 37.048, 36.643
596, 37.058, 36.651
597, 37.048, 36.651
598, 37.048, 36.651
599, 37.048, 36.651
600, 37.071, 36.658
601, 37.071, 36.665
602, 37.071, 36.665
603, 37.062, 36.665
604, 37.023, 36.665
605, 37.023, 36.665
606, 37.042, 36.665
607, 37.033, 36.665
608, 37.033, 36.665
609, 37.062, 36.665
610, 37.094, 36.672
611, 37.084, 36.672
612, 37.046, 36.672
613, 37.046, 36.680
614, 37.065, 36.680
615, 37.075, 36.680
616, 37.078, 36.687
617, 37.078, 36.687
618, 37.078, 36.687
619, 37.069, 36.687
620, 37.059, 36.687
621, 37.088, 36.694
622, 37.078, 36.694
623, 37.059, 36.694
624, 37.101, 36.701
625, 37.092, 36.701
626, 37.082, 36.701
627, 37.092, 36.701
628, 37.092, 36.708
629, 37.101, 36.708
630, 37.111, 36.708
631, 37.105, 36.716
632, 37.095, 36.716
633, 37.095, 36.716
634, 37.086, 36.716
635, 37.095, 36.716
636, 37.095, 36.716
637, 37.095, 36.716
638, 37.092, 36.708
639, 37.101, 36.708
640, 37.124, 36.716
641, 37.124, 36.716
642, 37.095, 36.716
643, 37.086, 36.716
644, 37.095, 36.716
645, 37.086, 36.716
646, 37.095, 36.723
647, 37.105, 36.723
648, 37.105, 36.723
649, 37.105, 36.723
650, 37.095, 36.716
651, 37.095, 36.716
652, 37.095, 36.716
653, 37.095, 36.716
654, 37.105, 36.723
655, 37.105, 36.723
656, 37.105, 36.716
657, 37.105, 36.723
658, 37.115, 36.723
659, 37.095, 36.716
660, 37.115, 36.723
661, 37.137, 36.730
662, 37.118, 36.730
663, 37.105, 36.723
664, 37.095, 36.723
665, 37.109, 36.730
666, 37.109, 36.730
667, 37.109, 36.730
668, 37.109, 36.730
669, 37.118, 36.730
670, 37.118, 36.730
671, 37.109, 36.730
672, 37.122, 36.737
673, 37.112, 36.737
674, 37.089, 36.730
675, 37.089, 36.730
676, 37.122, 36.737
677, 37.122, 36.737
678, 37.103, 36.737
679, 37.122, 36.737
680, 37.122, 36.737
681, 37.103, 36.744
682, 37.116, 36.752
683, 37.145, 36.752
684, 37.164, 36.752
685, 37.154, 36.752
686, 37.145, 36.752
687, 37.135, 36.752
688, 37.126, 36.752
689, 37.126, 36.752
690, 37.116, 36.759
691, 37.129, 36.766
692, 37.116, 36.759
693, 37.116, 36.759
694, 37.129, 36.766
695, 37.139, 36.766
696, 37.158, 36.773
697, 37.148, 36.773
698, 37.148, 36.773
699, 37.158, 36.773
700, 37.168, 36.773
701, 37.200, 36.781
702, 37.171, 36.781
703, 37.133, 36.781
704, 37.152, 36.781
705, 37.162, 36.781
706, 37.162, 36.781
707, 37.162, 36.781
708, 37.181, 36.781
709, 37.171, 36.788
710, 37.175, 36.795
711, 37.185, 36.795
712, 37.165, 36.795
713, 37.165, 36.795
714, 37.175, 36.795
715, 37.194, 36.795
716, 37.175, 36.802
717, 37.159, 36.809
718, 37.201, 36.817
719, 37.211, 36.817
720, 37.211, 36.817
721, 37.211, 36.817
722, 37.198, 36.809
723, 37.192, 36.817
724, 37.182, 36.824
725, 37.192, 36.824
726, 37.182, 36.824
727, 37.182, 36.824
728, 37.195, 36.831
729, 37.205, 36.831
730, 37.234, 36.838
731, 37.247, 36.846
732, 37.209, 36.846
733, 37.228, 36.846
734, 37.209, 36.853
735, 37.228, 36.853
736, 37.257, 36.846
737, 37.247, 36.853
738, 37.251, 36.860
739, 37.241, 36.860
740, 37.241, 36.860
741, 37.241, 36.860
742, 37.251, 36.867
743, 37.251, 36.867
744, 37.260, 36.867
745, 37.293, 36.874
746, 37.293, 36.882
747, 37.254, 36.882
748, 37.226, 36.882
749, 37.235, 36.882
750, 37.245, 36.882
751, 37.258, 36.889
752, 37.258, 36.896
753, 37.277, 36.896
754, 37.277, 36.896
755, 37.268, 36.896
756, 37.281, 36.903
757, 37.262, 36.903
758, 37.271, 36.903
759, 37.304, 36.910
760, 37.285, 36.910
761, 37.285, 36.910
762, 37.304, 36.910
763, 37.294, 36.910
764, 37.294, 36.918
765, 37.304, 36.918
766, 37.294, 36.918
767, 37.317, 36.925
768, 37.307, 36.932
769, 37.288, 36.932
770, 37.317, 36.932
771, 37.317, 36.932
772, 37.321, 36.939
773, 37.321, 36.947
774, 37.340, 36.947
775, 37.350, 36.947
776, 37.369, 36.947
777, 37.350, 36.947
778, 37.321, 36.947
779, 37.344, 36.954
780, 37.334, 36.961
781, 37.315, 36.961
782, 37.324, 36.961
783, 37.334, 36.961
784, 37.318, 36.968
785, 37.318, 36.975
786, 37.357, 36.975
787, 37.357, 36.975
788, 37.338, 36.975
789, 37.338, 36.975
790, 37.361, 36.983
791, 37.383, 36.990
792, 37.383, 36.997
793, 37.364, 36.997
794, 37.374, 36.990
795, 37.403, 36.990
796, 37.393, 36.997
797, 37.368, 37.004
798, 37.368, 37.004
799, 37.377, 37.004
800, 37.377, 37.011
801, 37.400, 37.019
802, 37.410, 37.019
803, 37.400, 37.019
804, 37.400, 37.019
805, 37.400, 37.019
806, 37.400, 37.026
807, 37.400, 37.026
808, 37.391, 37.026
809, 37.410, 37.026
810, 37.429, 37.026
811, 37.433, 37.033
812, 37.394, 37.033
813, 37.394, 37.033
814, 37.404, 37.040
815, 37.423, 37.040
816, 37.414, 37.040
817, 37.385, 37.040
818, 37.404, 37.040
819, 37.404, 37.040
820, 37.394, 37.040
821, 37.436, 37.048
822, 37.456, 37.055
823, 37.456, 37.055
824, 37.436, 37.055
825, 37.417, 37.055
826, 37.398, 37.055
827, 37.398, 37.055
828, 37.398, 37.055
829, 37.408, 37.055
830, 37.440, 37.062
831, 37.453, 37.069
832, 37.444, 37.069
833, 37.444, 37.069
834, 37.425, 37.069
835, 37.444, 37.069
836, 37.463, 37.076
837, 37.434, 37.076
838, 37.434, 37.076
839, 37.467, 37.084
840, 37.457, 37.091
841, 37.467, 37.091
842, 37.467, 37.091
843, 37.467, 37.091
844, 37.486, 37.091
845, 37.470, 37.098
846, 37.470, 37.098
847, 37.470, 37.098
848, 37.461, 37.098
849, 37.470, 37.098
850, 37.470, 37.098
851, 37.480, 37.098
852, 37.489, 37.105
853, 37.480, 37.105
854, 37.464, 37.112
855, 37.436, 37.112
856, 37.464, 37.112
857, 37.503, 37.120
858, 37.464, 37.120
859, 37.464, 37.120
860, 37.474, 37.120
861, 37.474, 37.120
862, 37.483, 37.120
863, 37.455, 37.120
864, 37.478, 37.127
865, 37.497, 37.127
866, 37.487, 37.127
867, 37.468, 37.127
868, 37.468, 37.127
869, 37.497, 37.134
870, 37.497, 37.134
871, 37.497, 37.134
872, 37.510, 37.141
873, 37.510, 37.141
874, 37.529, 37.141
875, 37.548, 37.149
876, 37.520, 37.149
877, 37.491, 37.149
878, 37.514, 37.156
879, 37.533, 37.156
880, 37.552, 37.156
881, 37.533, 37.156
882, 37.523, 37.156
883, 37.537, 37.163
884, 37.537, 37.170
885, 37.556, 37.170
886, 37.556, 37.170
887, 37.537, 37.170
888, 37.546, 37.170
889, 37.517, 37.170
890, 37.540, 37.177
891, 37.550, 37.185
892, 37.540, 37.185
893, 37.531, 37.185
894, 37.521, 37.185
895, 37.521, 37.185
896, 37.553, 37.192
897, 37.573, 37.199
898, 37.563, 37.199
899, 37.563, 37.199
900, 37.553, 37.199
901, 37.553, 37.199
902, 37.576, 37.206
903, 37.576, 37.206
904, 37.586, 37.206
905, 37.595, 37.214
906, 37.567, 37.214
907, 37.557, 37.214
908, 37.580, 37.221
909, 37.590, 37.221
910, 37.590, 37.221
911, 37.561, 37.221
912, 37.570, 37.228
913, 37.603, 37.235
914, 37.612, 37.235
915, 37.603, 37.235
916, 37.612, 37.235
917, 37.612, 37.235
918, 37.603, 37.235
919, 37.603, 37.235
920, 37.603, 37.235
921, 37.622, 37.235
922, 37.632, 37.235
923, 37.622, 37.235
924, 37.645, 37.242
925, 37.645, 37.250
926, 37.645, 37.250
927, 37.635, 37.250
928, 37.626, 37.243
929, 37.635, 37.243
930, 37.626, 37.250
931, 37.616, 37.250
932, 37.639, 37.257
933, 37.629, 37.257
934, 37.606, 37.250
935, 37.645, 37.250
936, 37.677, 37.257
937, 37.639, 37.264
938, 37.620, 37.264
939, 37.610, 37.264
940, 37.601, 37.264
941, 37.648, 37.264
942, 37.677, 37.264
943, 37.658, 37.264
944, 37.639, 37.264
945, 37.620, 37.264
946, 37.633, 37.271
947, 37.652, 37.271
948, 37.652, 37.271
949, 37.633, 37.271
950, 37.643, 37.271
951, 37.643, 37.279
952, 37.652, 37.279
953, 37.643, 37.279
954, 37.633, 37.279
955, 37.643, 37.279
956, 37.665, 37.286
957, 37.685, 37.286
958, 37.685, 37.286
959, 37.675, 37.286
960, 37.662, 37.279
961, 37.671, 37.279
962, 37.665, 37.286
963, 37.665, 37.286
964, 37.675, 37.286
965, 37.637, 37.286
966, 37.646, 37.293
967, 37.675, 37.293
968, 37.675, 37.293
969, 37.660, 37.300
970, 37.665, 37.293
971, 37.646, 37.293
972, 37.650, 37.300
973, 37.688, 37.300
974, 37.688, 37.300
975, 37.660, 37.300
976, 37.669, 37.307
977, 37.679, 37.307
978, 37.650, 37.307
979, 37.631, 37.307
980, 37.660, 37.307
981, 37.669, 37.307
982, 37.650, 37.307
983, 37.663, 37.315
984, 37.692, 37.315
985, 37.692, 37.315
986, 37.673, 37.315
987, 37.673, 37.315
988, 37.686, 37.322
989, 37.696, 37.322
990, 37.701, 37.315
991, 37.701, 37.315
992, 37.686, 37.322
993, 37.676, 37.322
994, 37.667, 37.322
995, 37.657, 37.329
996, 37.680, 37.336
997, 37.699, 37.336
998, 37.709, 37.336
999, 37.718, 37.336
1000, 37.728, 37.336
1001, 37.738, 37.336
1002, 37.738, 37.336
1003, 37.718, 37.336
1004, 37.718, 37.336
1005, 37.709, 37.336
1006, 37.718, 37.336
1007, 37.757, 37.344
1008, 37.747, 37.344
1009, 37.699, 37.344
1010, 37.703, 37.351
1011, 37.703, 37.351
1012, 37.703, 37.351
1013, 37.693, 37.351
1014, 37.684, 37.358
1015, 37.713, 37.358
1016, 37.741, 37.351
1017, 37.741, 37.358
1018, 37.755, 37.365
1019, 37.726, 37.365
1020, 37.707, 37.365
1021, 37.707, 37.365
1022, 37.707, 37.365
1023, 37.716, 37.365
1024, 37.726, 37.365
1025, 37.716, 37.365
1026, 37.716, 37.365
1027, 37.716, 37.365
1028, 37.735, 37.372
1029, 37.758, 37.380
1030, 37.758, 37.380
1031, 37.739, 37.380
1032, 37.720, 37.380
1033, 37.749, 37.380
1034, 37.720, 37.387
1035, 37.701, 37.387
1036, 37.730, 37.380
1037, 37.739, 37.380
1038, 37.739, 37.380
1039, 37.739, 37.387
1040, 37.752, 37.394
